variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
bce,0.5,0.265625,5.008156545752934,20524.12761230469,0.11636844017550833,1.0,0.4970086669921875,0.296875,"[0.265625, 0.265625]","[19419.17394665527, 21577.32373510742]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.55,0.314921875,7.155973700852387,12516.502509765625,0.12576429835811262,0.9941595458984375,0.4867705734971891,0.3387890625,"[0.30777050781250004, 0.3231259765625]","[11429.990658325194, 13669.790427001954]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.6,0.425625,9.154084933201736,7900.814541015625,0.12662434338565626,0.980433349609375,0.46810330552273427,0.450625,"[0.409947265625, 0.4400849609375]","[6965.467510253907, 8811.312095092773]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.65,0.5726953125,9.799569462103214,6809.628422851562,0.13005256555150072,0.962044677734375,0.4611017285723893,0.6025390625,"[0.5517529296875, 0.5940244140625]","[6031.0402434082025, 7641.007365722656]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.7,0.780859375,10.026601118057112,6462.793046875,0.12955209252223646,0.93603271484375,0.45853405981757905,0.822421875,"[0.74728515625, 0.8146884765625]","[5665.836786865235, 7244.613130371094]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.75,1.3465625,10.328222566432338,6029.177978515625,0.13015731737451136,0.8653155517578125,0.4473077793914651,1.42515625,"[1.2590380859374999, 1.4373134765625]","[5246.08194567871, 6797.8440019531245]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.8,3.328046875,11.319218197904238,4799.08609375,0.17189419741790488,0.6176263427734375,0.3816629591894213,3.4585546875,"[3.1343105468749997, 3.5207373046874997]","[4193.896587402344, 5418.322734619141]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.85,4.937578125,13.655612746941735,2802.3287744140625,0.3518385533099636,0.416441650390625,0.24411913855822528,4.95453125,"[4.79436328125, 5.0762216796875]","[2490.2619692382814, 3119.7890257568356]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.9,5.7562890625,16.967754966617274,1307.0881103515626,0.591246191847021,0.31411376953125,0.12652241160880143,5.5058203125,"[5.6457109375, 5.8647822265625]","[1188.8203126220703, 1426.236375]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
bce,0.925,6.068515625,18.850703777060897,847.2468896484374,0.7131437175797646,0.275064697265625,0.08290174985465955,5.6313671875,"[5.96315625, 6.1645439453124995]","[774.2967567138672, 915.6467626953125]",0.46542015741579235,0.7336182594299316,0.0038613012031873868,171297,1024,64000,880.8769504000011
